,count,unique,top,freq,mean,std,min,25%,50%,75%,max,median,missing_values
Timestamp,525600,525600,2022-10-24 23:44,1,,,,,,,,,0
GHI,525600.0,,,,231.71878576864535,321.6919532125897,0.0,0.0,2.1,442.4,1424.0,2.1,0
DNI,525600.0,,,,151.25846898782348,250.9569616573671,0.0,0.0,0.0,246.4,1004.5,0.0,0
DHI,525600.0,,,,116.44435235920854,156.52071366117195,0.0,0.0,2.5,215.7,805.7,2.5,0
ModA,525600.0,,,,226.14437461948242,317.3469382524454,0.0,0.0,4.4,422.525,1380.0,4.4,0
ModB,525600.0,,,,219.56858808980218,307.9325104175355,0.0,0.0,4.3,411.0,1367.0,4.3,0
Tamb,525600.0,,,,27.75178805175039,4.758022740618851,14.9,24.2,27.2,31.1,41.4,27.2,0
RH,525600.0,,,,55.01315981735161,28.778732322296694,3.3,26.5,59.3,80.8,99.8,59.3,0
WS,525600.0,,,,2.3680934170471843,1.462667670344068,0.0,1.4,2.2,3.2,16.1,2.2,0
WSgust,525600.0,,,,3.2294895357686455,1.882564525208805,0.0,1.9,2.9,4.4,23.1,2.9,0
WSstdev,525600.0,,,,0.5577395357686454,0.268923061732855,0.0,0.4,0.5,0.7,4.7,0.5,0
WD,525600.0,,,,161.74184531963462,91.87721656228369,0.0,74.8,199.1,233.5,360.0,199.1,0
WDstdev,525600.0,,,,10.559568493150685,5.915489536764592,0.0,6.9,10.8,14.1,86.9,10.8,0
BP,525600.0,,,,975.9152416286149,2.153977480335337,968.0,975.0,976.0,977.0,983.0,976.0,0
Cleaning,525600.0,,,,0.0005346270928462709,0.023115844854792233,0.0,0.0,0.0,0.0,1.0,0.0,0
Precipitation,525600.0,,,,0.001382039573820396,0.02635003158140825,0.0,0.0,0.0,0.0,2.3,0.0,0
TModA,525600.0,,,,32.44440296803653,10.99833354593578,13.1,23.9,28.4,40.6,70.4,28.4,0
TModB,525600.0,,,,33.54332971841705,12.76927711913104,13.1,23.6,28.4,43.0,94.6,28.4,0
Comments,0.0,,,,,,,,,,,,525600
